商品ID,定位,商品名称,成交_7.13,成交_7.20,成交变化,推广前_7.13,推广前_7.20,推广前净利变化,推广费_7.13,推广费_7.20,推广花费变化,推广后_7.13,推广后_7.20,推广后净利变化,推广前影响,推广费影响,其他影响,主因判断
1057479227624,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,2425.0,3300.0,875.0,251.0,393.0,142.0,892.0,1038.0,146.0,-674.0,-678.0,-4.0,142.0,-146.0,0.0,主要是推广费上升
649369494424,24包经典/牛系列,营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面,5759.0,4014.0,-1745.0,1085.0,775.0,-310.0,823.0,519.0,-304.0,247.0,245.0,-2.0,-310.0,304.0,4.0,主要是推广前利润下降
885645733215,大骨牛肉,进口营多大骨番茄牛肉味营多捞面意式泡面宿舍宿舍宵夜速食方便面,77.0,182.0,105.0,2.0,16.0,14.0,7.0,20.0,13.0,-7.0,-8.0,-1.0,14.0,-13.0,-2.0,主要是推广费上升
932687928859,8包组合,营多捞面八口味袋装泡面拌面速食面干拌面方便面宿舍宵夜速食家用,128.0,76.0,-52.0,19.0,12.0,-7.0,19.0,9.0,-10.0,-2.0,1.0,3.0,-7.0,10.0,0.0,本期改善/持平
971242260371,韩式袋面,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,108.0,164.0,56.0,19.0,16.0,-3.0,40.0,31.0,-9.0,-21.0,-17.0,4.0,-3.0,9.0,-2.0,本期改善/持平
1060999732877,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,2081.0,2057.0,-24.0,429.0,450.0,21.0,452.0,480.0,28.0,-44.0,-40.0,4.0,21.0,-28.0,11.0,本期改善/持平
903183018417,杯面混搭,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,39.0,38.0,-1.0,3.0,3.0,0.0,12.0,5.0,-7.0,-9.0,-3.0,6.0,0.0,7.0,-1.0,本期改善/持平
969433743398,韩蘑菇,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,85.0,142.0,57.0,7.0,19.0,12.0,10.0,13.0,3.0,-5.0,4.0,9.0,12.0,-3.0,0.0,本期改善/持平
976479938842,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,47.0,19.0,-28.0,-16.0,-6.0,10.0,4.0,2.0,-2.0,-22.0,-9.0,13.0,10.0,2.0,1.0,本期改善/持平
649731447266,20包经典/牛系列,营多印尼进口营多捞面方便面火鸡面干拌面20包宿舍速食泡面夜宵,193.0,244.0,51.0,39.0,50.0,11.0,16.0,14.0,-2.0,21.0,34.0,13.0,11.0,2.0,0.0,本期改善/持平
766165464414,12包,营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵,483.0,436.0,-47.0,57.0,60.0,3.0,39.0,20.0,-19.0,10.0,33.0,23.0,3.0,19.0,1.0,本期改善/持平
648604228786,杯面混搭,INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍,101.0,213.0,112.0,12.0,29.0,17.0,26.0,17.0,-9.0,-15.0,9.0,24.0,17.0,9.0,-2.0,本期改善/持平
744317232690,多规格,营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍,462.0,728.0,266.0,53.0,103.0,50.0,53.0,78.0,25.0,-10.0,14.0,24.0,50.0,-25.0,-1.0,本期改善/持平
969423151512,日韩混搭,营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行,366.0,538.0,172.0,54.0,100.0,46.0,74.0,93.0,19.0,-26.0,-1.0,25.0,46.0,-19.0,-2.0,本期改善/持平
1059563993918,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,541.0,249.0,-292.0,-5.0,22.0,27.0,94.0,44.0,-50.0,-115.0,-28.0,87.0,27.0,50.0,10.0,本期改善/持平
1058280415678,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,3342.0,4380.0,1038.0,711.0,953.0,242.0,623.0,771.0,148.0,52.0,144.0,92.0,242.0,-148.0,-2.0,本期改善/持平
668566625747,袋面主链接,印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱,36984.0,35490.0,-1494.0,4798.0,4655.0,-143.0,5810.0,5656.0,-154.0,-1578.0,-1452.0,126.0,-143.0,154.0,115.0,本期改善/持平
